,alpha,Defender's Losses,Attacker's Gains
0,0.01,1145.3987936032145,167.84531967142007
1,0.02,1076.001410160723,160.4059529327099
2,0.03,1017.381684906076,153.7314729255853
3,0.04,964.6549869633827,147.7877325030942
4,0.05,892.3372615559188,141.2866624038355
5,0.06,872.7013216159216,137.14367007709956
6,0.07,0.0,0.0
7,0.08,0.0,0.0
8,0.09,0.0,0.0
9,0.1,714.8641701818204,118.39505637052501
10,0.11,0.0,0.0
11,0.12,660.439088827097,111.37496385500194
12,0.13,611.4717615045122,97.41147015863369
13,0.14,121.38364927080247,52.58517867899251
14,0.15,591.1708034665397,102.44030066317916
15,0.16,570.7977783604935,99.81245854270419
16,0.17,551.5889261176499,97.33477884059522
17,0.18,513.2527630907124,85.29722951682375
18,0.19,516.2861706443158,92.78120531221235
19,0.2,481.2663990055104,81.35206089524297
20,0.21,466.5140672938009,79.53252191675051
21,0.22,469.9513040855646,86.80464006234642
22,0.23,456.01317349472095,85.00681149056007
23,0.24,442.738763408203,83.29459380699103
24,0.25,430.0817677443137,81.66201415151191
25,0.26,418.00009006514676,80.10364266504513
26,0.27,406.4553758383872,78.61453211886217
27,0.28,395.4126057084434,77.19016553057364
28,0.29,422.3217824119302,51.48609148996628
29,0.3,374.7074117147987,74.51947816719297
30,0.31,364.9886471871694,73.26589021749598
31,0.32,355.6586332406453,72.06244575890713
32,0.33,387.33589567561137,47.603902520584654
33,0.34,338.0751454183501,69.79441589759085
34,0.35,329.7810473889655,68.72459047905998
35,0.36,321.79413817548414,67.69438822350195
36,0.37,357.46989480314403,44.28983876698618
37,0.38,27.863478550265363,25.118245716231016
38,0.39,27.158495984592022,24.774832990778073
39,0.4,26.47810583400035,24.44339973900957
40,0.41,25.821043345714592,24.123329980913365
41,0.42,279.4635193440325,62.23431626524247
42,0.43,320.0553442596136,40.13815450279705
43,0.44,314.5274286838126,39.52475250375198
44,0.45,309.1759359455374,38.930927163285176
45,0.46,13.227513227513226,13.227513227513226
46,0.47,298.9694807230534,37.79837368208572
47,0.48,12.82051282051282,12.82051282051282
48,0.49,289.3754128139186,36.73377340668627
49,0.5,12.43781094527363,12.43781094527363
50,0.51,12.254901960784311,12.254901960784311
51,0.52,12.077294685990337,12.077294685990337
52,0.53,11.904761904761903,11.904761904761903
53,0.54,19.29046049556222,19.29046049556222
54,0.55,11.574074074074073,11.574074074074073
55,0.56,11.415525114155251,11.415525114155251
56,0.57,11.26126126126126,11.26126126126126
57,0.58,199.25813629496622,51.888916776831856
58,0.59,164.06995039583842,47.160681334047126
59,0.6,10.822510822510822,10.822510822510822
60,0.61,187.83648364557388,50.41567950678789
61,0.62,180.5410429408703,44.260872993214825
62,0.63,180.69207540397872,49.49414838005148
63,0.64,173.9361906113651,43.44623660531499
64,0.65,170.7536105574301,43.05370009770866
65,0.66,170.6133566345854,48.194131229462904
66,0.67,167.4118812607781,47.781184618552466
67,0.68,220.57437329432497,29.099305293821203
68,0.69,219.8200807465462,23.393227556422794
69,0.7,155.92980612370263,41.22534575671335
70,0.71,155.3254124338204,46.22219513705274
71,0.72,150.46318381951758,40.55109760636708
72,0.73,147.82031310995757,40.2251283720754
73,0.74,145.2351050340606,39.90627118788503
74,0.75,142.7056928159169,39.594295824772516
75,0.76,140.23028939958402,39.28898185696053
76,0.77,137.80718323852585,38.990118173492135
77,0.78,135.43473434912738,38.69750251724156
78,0.79,133.1113706091648,38.410940976763335
79,0.8,130.83558428367235,38.130247591580385
80,0.81,192.66374541841034,20.572820608096553
81,0.82,190.69688556103134,20.368546165810724
82,0.83,124.81007034595679,42.28613259408553
83,0.84,186.87962465361824,19.97209248335684
84,0.85,163.39869281045753,16.33986928104575
85,0.86,183.2101286845566,19.59098539433176
86,0.87,756.809098540084,75.6809098540084
87,0.88,179.67998066368713,19.224350724842527
88,0.89,177.96470497956562,19.04620535282762
89,0.9,176.28139095415446,18.87137945988556
90,0.91,174.62915349536624,18.699781121910988
91,0.92,84.166982723758,36.89295709583902
92,0.93,104.4206901220839,39.656180889738856
93,0.94,103.25441269710782,34.728411341950235
94,0.95,101.54661826032353,34.51777355072482
95,0.96,99.00140748363346,38.95716741166072
96,0.97,97.25781219995812,38.732267420107455
97,0.98,95.54427890393234,38.51124501701114
98,0.99,93.86003677535999,38.29400077563159
