,alpha,Defender's Losses,Attacker's Gains
0,0.01,1145.3987939439742,167.84531967142087
1,0.02,1076.0135058860485,160.4250066106734
2,0.03,1018.8592304587355,154.40420207441764
3,0.04,969.9238409244067,149.30369717637163
4,0.05,927.1609708014747,144.88352013675572
5,0.06,889.2939082318402,140.9964033475469
6,0.07,855.4381114408887,137.541758474875
7,0.08,824.9409735280603,134.4462701757993
8,0.09,797.3006777189933,131.65414797792968
9,0.1,772.1199567649869,129.12162070107533
10,0.11,749.0774389947692,126.813556106037
11,0.12,727.9087585978407,124.70125274250515
12,0.13,708.393503756085,122.7609275873781
13,0.14,690.3458619701679,120.97264112333215
14,0.15,673.6077197332836,119.31951035668618
15,0.16,658.0434447595176,117.78711856814209
16,0.17,643.5358729804127,116.36306367284794
17,0.18,629.9831614927103,115.03660677399611
18,0.19,617.296292434364,113.79839472612075
19,0.2,605.3970661658464,112.64023838716182
20,0.21,594.216472602811,111.55493344774476
21,0.22,583.6933561010302,110.53611426908463
22,0.23,573.7733120628285,109.57813362627769
23,0.24,564.4077689392427,108.675963004072
24,0.25,555.553218916107,107.82510935715331
25,0.26,547.1705687459512,107.02154517568864
26,0.27,539.2245903546601,106.26164938840225
27,0.28,531.683451632822,105.54215715695122
28,0.29,524.5183154121637,104.86011701316257
29,0.3,517.7029943787359,104.2128540972962
30,0.31,511.2136521190003,103.59793849406326
31,0.32,505.0285467035171,103.01315785037222
32,0.33,499.127803073685,102.45649360691151
33,0.34,493.4932194945839,101.92610029374143
34,0.35,488.1080936078933,101.42028743480738
35,0.36,482.95707223118075,100.93750368279332
36,0.37,478.02601807084426,100.47632286788283
37,0.38,473.30189210122956,100.03543169476009
38,0.39,468.7726493898984,99.61361886386554
39,0.4,464.42714645842267,99.20976542731209
40,0.41,460.2550590430239,98.82283621837578
41,0.42,456.2468084949144,98.45187221720523
42,0.43,452.3934960708263,98.09598373523454
43,0.44,448.68684403116566,97.75434431743042
44,0.45,445.1191427520042,97.42618527552943
45,0.46,441.6832031075012,97.11079077727305
46,0.47,438.3723137730293,96.80749342670262
47,0.48,435.1802021284633,96.5156702791304
48,0.49,432.1009996182122,96.23473924170305
49,0.5,429.12920982504585,95.96415581672454
50,0.51,426.25967969497674,95.70341015026901
51,0.52,423.48757339771134,95.45202435323266
52,0.53,420.8083484957806,95.20955006595872
53,0.54,418.21773423222453,94.97556624101637
54,0.55,415.71171171142066,94.74967712170552
55,0.56,413.28649578327827,94.53151039645786
56,0.57,410.9385184623642,94.32071551156868
57,0.58,408.6644135719281,94.1169621266712
58,0.59,406.4610034227984,93.91993869909537
59,0.6,404.3252850645035,93.72935118476789
60,0.61,402.2544191783426,93.54492184464416
61,0.62,400.2457192272533,93.36638814683388
62,0.63,398.2966407063649,93.19350175561547
63,0.64,396.40477283713255,93.02602759944875
64,0.65,394.5678300001872,92.8637430109014
65,0.66,392.78364271608206,92.7064369321214
66,0.67,391.0501519717716,92.55390918012341
67,0.68,389.3654011593621,92.40596976672117
68,0.69,387.7275304685825,92.26243826844217
69,0.7,386.1347708664896,92.12314324220809
70,0.71,384.58543871277965,91.98792168296742
71,0.72,383.0779307495016,91.85661851982238
72,0.73,381.61071944897753,91.72908614751543
73,0.74,380.18234864721546,91.6051839904279
74,0.75,378.7914294542493,91.48477809650049
75,0.76,377.4366364541188,91.36774075872017
76,0.77,376.11670415795345,91.25395016202494
77,0.78,374.8304235673635,91.14329005366797
78,0.79,373.57663977456514,91.03564943525235
79,0.8,372.35424795019344,90.93092227480113
80,0.81,371.16219148567956,90.82900723736677
81,0.82,369.9994591558566,90.72980743281023
82,0.83,368.8650832376053,90.63323017949337
83,0.84,367.75813536292026,90.53918678273237
84,0.85,366.6777274129099,90.44759232695432
85,0.86,365.6230074642143,90.35836548058343
86,0.87,364.59315848393885,90.27142831276265
87,0.88,363.58739658857127,90.18670612108649
88,0.89,362.6049694048536,90.1041272695856
89,0.9,361.6451545256115,90.02362303626303
90,0.91,360.70725757686625,89.94512746953576
91,0.92,359.7906126998879,89.86857725298435
92,0.93,358.8945785760004,89.79391157785913
93,0.94,358.01853893495024,89.72107202283203
94,0.95,357.1619009822411,89.65000244052158
95,0.96,356.3240943099587,89.58064885035304
96,0.97,355.5045698669851,89.51295933734788
97,0.98,354.7027989849556,89.44688395646592
98,0.99,353.9182724565716,89.38237464215007
