,beta,Defender's Losses,Attacker's Gains
0,0.01,4.813471934809303,0.5286864621113289
1,0.02,11.090081420399084,1.1901100257578097
2,0.03,16.304167398897764,1.7551604766925222
3,0.04,22.6262947348652,2.418962123073844
4,0.05,27.67295912417724,2.969986200843154
5,0.06,33.18848336546258,3.556019496159502
6,0.07,38.57248511196803,4.139679115977787
7,0.08,44.17976786815114,4.734625836659476
8,0.09,49.153496634404014,5.279653107875258
9,0.1,55.397129782861754,5.9370844028867475
10,0.11,60.33847218748271,6.4784627541777375
11,0.12,66.68314866403867,7.14562185301794
12,0.13,71.66095486493278,7.680379478712172
13,0.14,77.00425616504603,8.250788206644517
14,0.15,80.92823818487716,8.689037984468845
15,0.16,85.46783465333768,9.179955569242082
16,0.17,88.57407059583163,9.54183764547249
17,0.18,93.4115474751691,10.061788784369904
18,0.19,97.16206161835771,10.474720696693531
19,0.2,100.52892770743668,10.852026935425865
20,0.21,102.8468128099297,11.133820915265565
21,0.22,104.93293985327324,11.385347169855274
22,0.23,106.67263420654693,11.60101908332118
23,0.24,108.90791942874618,11.869538777575837
24,0.25,109.69888329558508,12.002332223226665
25,0.26,110.77644474784269,12.15610020809969
26,0.27,112.13317419031766,12.339429840213283
27,0.28,115.08198006303519,12.662959241999133
28,0.29,116.45331242020069,12.848074538772696
29,0.3,117.94946041901474,13.043507760185777
30,0.31,119.1190618232261,13.207521172651745
31,0.32,120.41693927775424,13.386168583194054
32,0.33,122.14999340917939,13.606994887575592
33,0.34,122.01552976161763,13.65500885179077
34,0.35,123.41965817915762,13.844551225484302
35,0.36,125.02626474820597,14.044924929403896
36,0.37,125.86329747524212,14.180495797083447
37,0.38,126.63032516382627,14.309724630312486
38,0.39,127.273069045186,14.429328795622267
39,0.4,128.94063917927096,14.644846618195984
40,0.41,129.77432143386505,14.781276670984555
41,0.42,139.73397919537632,54.769331235968785
42,0.43,141.47841048960206,55.04040230722155
43,0.44,143.23296612632993,55.30321004753269
44,0.45,145.49941643563798,55.59180148831088
45,0.46,147.21451035857373,55.84901367420658
46,0.47,148.78508724996453,56.083800957317635
47,0.48,150.41848564687345,56.330078403586946
48,0.49,151.9528867996195,56.558925043598315
49,0.5,154.16616157990302,56.83118794836518
50,0.51,155.51915182590201,57.040527170042324
51,0.52,157.22344293574542,57.278466739550545
52,0.53,159.17813501265093,57.52318832148869
53,0.54,160.54358246842298,57.72610068481056
54,0.55,162.08638622277206,57.94105265350246
55,0.56,164.0197391910755,58.17882508332217
56,0.57,165.5872552145546,58.39540897680338
57,0.58,167.074345667358,58.5989420817013
58,0.59,168.91527688167082,58.82605867219719
59,0.6,170.19456776866744,59.00547890634255
60,0.61,171.83686572480113,59.21276368799655
61,0.62,173.36530603520976,59.41397625379287
62,0.63,175.1618517086613,59.631759230123905
63,0.64,176.27368170983513,59.793154434981524
64,0.65,177.68491987808042,59.97830929569407
65,0.66,179.36402697949603,60.18315903491906
66,0.67,180.7217584209734,60.36258326000659
67,0.68,182.46746608512828,60.56997215388095
68,0.69,183.82410137823416,60.73968224313533
69,0.7,185.08684975799773,60.90616131278311
70,0.71,186.6646773418197,61.096140727806535
71,0.72,188.19465584957885,61.28716788774115
72,0.73,189.75594173601488,61.47379067845027
73,0.74,190.92708843157365,61.62863737503643
74,0.75,192.41476030190736,61.8062828547554
75,0.76,193.96023106947038,61.989053748941465
76,0.77,195.11273890997384,62.13921320823919
77,0.78,196.6979686769589,62.32299112773218
78,0.79,198.19904812967675,62.49933609814637
79,0.8,199.31314056174367,62.64317846016803
80,0.81,200.8007666460789,62.81688628801903
81,0.82,202.2236609534791,62.9849725570616
82,0.83,203.34799858708175,63.127544831523345
83,0.84,204.78322830440396,63.29429336428311
84,0.85,206.19930699548814,63.45993069652512
85,0.86,207.35963920682744,63.598225712363806
86,0.87,208.41517158505118,63.732491239344036
87,0.88,209.8022144139702,63.89360523100819
88,0.89,211.19648759075446,64.05497323650617
89,0.9,212.61837266046433,64.21751593329503
90,0.91,213.59037577086292,64.34095478274887
91,0.92,214.61215720833079,64.46365835113023
92,0.93,215.9662808695577,64.619184819938
93,0.94,217.37550210912886,64.77878963434831
94,0.95,218.6483562382493,64.92643478782762
95,0.96,219.68622193077394,65.0537901465461
96,0.97,220.98168566873665,65.20182288572414
97,0.98,221.84687337404668,65.306476218175
98,0.99,223.0461591488808,65.44512110900727
