,beta,Defender's Losses,Attacker's Gains
0,0.01,43.999999998730075,8.0
1,0.02,73.33333239723012,13.333333224377416
2,0.03,94.28571427078407,17.142857142857142
3,0.04,110.00000000000051,20.0
4,0.05,122.22222236227019,22.22222222222222
5,0.06,131.99999990497628,24.0
6,0.07,139.99999472567512,25.454544708681176
7,0.08,146.6666657296419,26.666666541656557
8,0.09,155.45770441472013,27.727933643732555
9,0.1,165.5606023668197,28.774198903293268
10,0.11,175.8608753674563,29.827558857593935
11,0.12,185.93876498236608,30.869369570145537
12,0.13,195.29322780283806,31.8384809719472
13,0.14,204.99919996998136,32.810858846558574
14,0.15,214.22663526143964,33.73570991956301
15,0.16,222.99094289110002,34.614427792176556
16,0.17,231.61079680934492,35.4784988510559
17,0.18,240.30081012761048,36.3492551708253
18,0.19,247.87846893796046,37.1094703632914
19,0.2,255.17220737218634,37.8412073165128
20,0.21,262.11629464206624,38.53795342701447
21,0.22,267.8270396701123,39.1119120216097
22,0.23,272.81317255870215,39.613558241863025
23,0.24,278.5819045584736,40.19270801959411
24,0.25,283.2885466399017,40.66603262361205
25,0.26,287.3615124849557,41.07609730527707
26,0.27,291.79934045134996,41.52222769558615
27,0.28,296.32858091589895,41.97726481397683
28,0.29,300.59240388428157,42.40572489751143
29,0.3,304.69311021482565,42.817795537508886
30,0.31,308.3554050301874,43.18607938395502
31,0.32,312.2484995914507,43.57720379342884
32,0.33,316.5267383171334,44.00656312275743
33,0.34,319.32119744332505,44.28804774378226
34,0.35,323.0704422666784,44.664511942913904
35,0.36,326.1940412127173,44.978559873401274
36,0.37,329.1919545581504,45.27999010500646
37,0.38,332.0433822403244,45.56673473928659
38,0.39,334.8489418044691,45.84882336453944
39,0.4,338.58658283098083,46.223719499369146
40,0.41,341.33027199632454,46.499496995231524
41,0.42,156.26982526112064,55.19996944797319
42,0.43,159.3524061859522,55.53427831449105
43,0.44,162.30321870437203,55.85657755977924
44,0.45,165.34329418814872,56.185520504010135
45,0.46,168.3573386256778,56.51145100857873
46,0.47,171.02713260972791,56.80712165096933
47,0.48,174.03751944982778,57.131140839710206
48,0.49,176.76709222940124,57.43023167107384
49,0.5,179.7121182729764,57.74721043503173
50,0.51,182.29849809263843,58.03233386104348
51,0.52,185.23902493088977,58.347613172815244
52,0.53,187.93754245066316,58.64112201544806
53,0.54,190.5107686009931,58.92295443773587
54,0.55,193.19763874895455,59.21413930754344
55,0.56,195.85283045509019,59.50193716856761
56,0.57,198.67969223340202,59.80441769754068
57,0.58,201.2625688466073,60.0847171314031
58,0.59,203.89408148654775,60.368818735370354
59,0.6,206.1701786491603,60.620605453267615
60,0.61,208.63351275836763,60.88857596017699
61,0.62,211.241417490284,61.16904141939504
62,0.63,213.79285610664067,61.443989357666034
63,0.64,216.03402997253139,61.690468982051854
64,0.65,218.453559472095,61.95257481693597
65,0.66,220.93743297543728,62.22008440140715
66,0.67,223.3797660168948,62.48342487591855
67,0.68,225.83295634817125,62.747366340325684
68,0.69,227.8541725137252,62.97151038017401
69,0.7,230.14016226080508,63.21937298945084
70,0.71,232.457813296428,63.46974826890217
71,0.72,235.09838156538845,63.749392695309325
72,0.73,237.38155894592563,63.99594259026476
73,0.74,239.61543517376165,64.23761162170229
74,0.75,241.78523713956892,64.47303089877768
75,0.76,244.03173683237063,64.7151863577763
76,0.77,246.215021136012,64.95118470479991
77,0.78,248.4024087951544,65.18724732396458
78,0.79,250.57417169382637,65.42155870860387
79,0.8,252.68129202217204,65.64957321405267
80,0.81,254.82395502705745,65.88059317300639
81,0.82,256.9740533833065,66.11202578823102
82,0.83,259.0722683850847,66.33835509518168
83,0.84,261.12887250667075,66.56053206849825
84,0.85,263.2536162448736,66.78880632972371
85,0.86,264.92775841983865,66.9746922855361
86,0.87,266.9990687033211,67.1974354128444
87,0.88,269.06850093036843,67.41976469037189
88,0.89,271.14340273507634,67.64237727475289
89,0.9,273.15787586131836,67.85909298789085
90,0.91,274.673909359115,68.06768523094911
91,0.92,276.1854002234873,68.2405896760327
92,0.93,278.5264466529137,68.4550427593201
93,0.94,280.62098921439565,68.6676969026014
94,0.95,282.4823838101148,68.87951048265668
95,0.96,283.9440498979471,69.0924667623624
96,0.97,286.31667959275677,69.29649755601793
97,0.98,286.47413036605343,69.44877347970923
98,0.99,288.8781822280475,69.64628521947958
