,A,Defender's Losses,Attacker's Gains
0,0.01,234.52908344232196,53.17209439989497
1,0.02,230.33978692352653,53.12661113841006
2,0.03,232.2835256519478,53.1743748446767
3,0.04,233.0439020105569,53.16755786647335
4,0.05,233.31308018935462,53.3736111199414
5,0.06,233.64723632254007,53.36117132390859
6,0.07,233.39106118456635,53.7277726233619
7,0.08,233.49419093034442,53.83660724520661
8,0.09,230.94351728268612,54.07298739587456
9,0.1,232.04573444936156,53.98459202331773
10,0.11,232.4312331160108,54.03386870290498
11,0.12,233.80331575647594,54.22945426572069
12,0.13,232.7309444962617,54.62711048374136
13,0.14,232.16656612829294,54.52382436906598
14,0.15,231.51311133931043,54.435059515166955
15,0.16,231.702474238483,54.72692152679747
16,0.17,232.70851321706166,54.616161952723324
17,0.18,232.1104887219627,55.19303301965749
18,0.19,232.02258851161798,55.20634143972147
19,0.2,230.966922544661,55.68663126649568
20,0.21,232.79604959098464,55.13799248541713
21,0.22,232.06275468184273,54.94002437638023
22,0.23,231.76957494529438,55.227430368038654
23,0.24,231.46547276629573,55.505236147836875
24,0.25,231.36576991361238,55.604157141741794
25,0.26,231.2910254838354,55.426417606128666
26,0.27,231.60951007609123,55.51161883562927
27,0.28,230.92733277525093,56.061295094998115
28,0.29,230.38405186094073,56.23850455308829
29,0.3,230.39289425725875,56.36867137500164
30,0.31,230.95420468205052,55.823909868300404
31,0.32,231.11924234386035,56.02651788014266
32,0.33,230.6160934414368,56.377471730906194
33,0.34,230.36175386243863,56.14279292520973
34,0.35,229.83251488773834,57.182913785622276
35,0.36,230.98961828228096,56.4019911092107
36,0.37,229.84674373393074,57.09750532393364
37,0.38,230.5061658694779,56.15196982382533
38,0.39,231.18708717627356,56.38635982525021
39,0.4,230.3176862150274,57.137038864307755
40,0.41,230.77274457552932,56.38511151829711
41,0.42,231.54405264815057,57.423192967432634
42,0.43,231.49188669501183,57.16358440841279
43,0.44,231.78437035692835,56.90895488405677
44,0.45,230.9822850707411,58.00739111767663
45,0.46,233.3628348050589,58.433827116518
46,0.47,242.54698086792266,60.4749268964038
47,0.48,242.37849788550477,60.2438637535642
48,0.49,238.44149229399392,60.288704071136245
49,0.5,244.83757957679816,59.70692535073286
50,0.51,238.21722039817718,59.75413769540883
51,0.52,236.93202058678918,59.60037472968081
52,0.53,236.6352730680216,59.268324666477056
53,0.54,232.3480550509997,59.40023010166394
54,0.55,239.50895503187024,58.71325172380976
55,0.56,233.51439895903826,58.71753451036558
56,0.57,229.46784431018185,58.82021477902833
57,0.58,232.6800341035888,58.335728146334056
58,0.59,230.64209835428053,58.1984410785804
59,0.6,228.96075128234958,58.100962252725424
60,0.61,231.2232258621769,57.69366693960316
61,0.62,230.22615322479965,57.57308930316536
62,0.63,225.78890303799784,57.62577527610327
63,0.64,224.97454246029122,57.47626186712661
64,0.65,225.9369316644511,57.152493789659545
65,0.66,221.8757518460924,57.29864624478296
66,0.67,225.95434248737263,56.72064166315233
67,0.68,220.76146376090716,56.91294667771034
68,0.69,220.3037084639594,56.747626296053284
69,0.7,218.67641214771902,56.65616723026192
70,0.71,219.3913411380472,56.28388373967337
71,0.72,217.01091576399548,56.39908338261637
72,0.73,217.7550594244016,55.97286025290297
73,0.74,215.79477865287868,55.98357313267137
74,0.75,215.59621438480426,55.76002579033043
75,0.76,222.18038118925992,61.09809272702824
76,0.77,212.67836894356736,55.66961537553284
77,0.78,212.73109063681764,55.378366528669815
78,0.79,212.3319478491567,55.31052110163328
79,0.8,210.11108114979285,55.42481964263025
80,0.81,211.70774603390439,54.81423717448714
81,0.82,210.79704740980293,54.71236616433133
82,0.83,207.71900728495905,55.12224600959622
83,0.84,207.46423701608063,54.76871698726313
84,0.85,207.2021780619827,54.542545844175365
85,0.86,206.64686692698749,54.381562301206586
86,0.87,208.11419060389926,54.015478242505765
87,0.88,204.71931805286994,54.41517328730343
88,0.89,203.9939608834951,54.098905019032586
89,0.9,204.20706023829467,53.843324375371864
90,0.91,203.1744823959858,53.73906678073213
91,0.92,201.72417016761682,53.98260550671127
92,0.93,201.7435534913342,53.54964751626055
93,0.94,200.21544284658427,54.10080200515276
94,0.95,199.77289791401716,53.87618779841054
95,0.96,199.78984458062212,53.315781148101124
96,0.97,199.3465731815144,53.122784763198666
97,0.98,198.0757423232677,53.545202037518294
98,0.99,197.10636682235514,53.414642675531
