,alpha,Defender's Losses,Attacker's Gains
0,0.01,1145.398793947222,167.84531967166524
1,0.02,1076.9809966729595,160.71457203978275
2,0.03,1019.7644502365562,154.76478679400054
3,0.04,967.4361128647183,149.30838447696914
4,0.05,920.2127885874319,142.2950736853865
5,0.06,884.8125320791331,135.74842777664583
6,0.07,850.3462395430631,130.69065009875342
7,0.08,819.530624524039,126.01990186747166
8,0.09,791.6368782609142,121.84267119258222
9,0.1,766.53725055789,118.04219977204599
10,0.11,742.5642745423107,114.67844403582606
11,0.12,718.7538161156463,111.16837071355727
12,0.13,696.590901471418,108.14299319750103
13,0.14,676.5733462593173,105.24570193511123
14,0.15,656.2826385282003,102.2411492787981
15,0.16,636.9045341220534,99.50425507139221
16,0.17,619.230346347429,97.09187597108826
17,0.18,602.3090943228494,94.7283300177451
18,0.19,586.9028779759294,92.40816565911855
19,0.2,572.4934680590846,90.18865129336662
20,0.21,559.3070430340322,88.23062876872582
21,0.22,546.8507259752506,86.3733606492683
22,0.23,535.1025138043165,84.5825050069877
23,0.24,523.8249095148494,82.81737837176254
24,0.25,513.6647739838206,81.33243577160437
25,0.26,503.07973748061875,79.75336045737973
26,0.27,491.6863736124251,78.01246550150037
27,0.28,482.6178686721315,76.7388341545856
28,0.29,472.84290516538687,75.12085685487729
29,0.3,462.8475255903169,73.8039647010506
30,0.31,454.51163974072597,72.47903446718918
31,0.32,444.9550786961229,70.98868243991835
32,0.33,436.38476337572064,69.9205292114135
33,0.34,426.7065219542059,68.99705539638423
34,0.35,416.0001353977831,68.62446666948239
35,0.36,406.31977864239144,68.3624443816279
36,0.37,396.04764157586413,68.28741583030765
37,0.38,390.440484817272,68.72831563280705
38,0.39,387.7697841664097,68.28486773336297
39,0.4,384.34901726015147,68.05228308128358
40,0.41,380.2515382379363,67.70826419154255
41,0.42,374.92431723299757,66.97827244339867
42,0.43,370.3671224362394,66.50613356877207
43,0.44,365.98558831704867,65.99947862441965
44,0.45,359.87528990334107,65.28042038856478
45,0.46,354.9500055297026,64.51158536753397
46,0.47,350.65454415703766,64.13008513653543
47,0.48,344.8819317658734,63.40968651002028
48,0.49,340.42304844972807,62.920331578943674
49,0.5,335.69829175650875,62.6046061455943
50,0.51,330.4329973384217,61.93022257593152
51,0.52,325.4548571795231,61.382302362871904
52,0.53,320.89960910316586,60.7991169151769
53,0.54,316.2395276297665,60.45176629695385
54,0.55,311.3919623940725,59.88369777138162
55,0.56,305.71685298273906,59.32856815318704
56,0.57,302.35290379232424,59.18316272002158
57,0.58,297.24350587710063,58.90524642809078
58,0.59,292.13479732209527,58.407452993094786
59,0.6,288.0071436867686,58.136019176031205
60,0.61,284.1261464846671,58.157115741089584
61,0.62,278.18296156127263,57.67595399318895
62,0.63,273.19773538474544,57.53912982612479
63,0.64,267.37999008563503,57.12412671386443
64,0.65,261.88693581838464,57.15662554858581
65,0.66,253.8890815463154,56.66892089423983
66,0.67,253.66489184588534,57.23666375997532
67,0.68,260.49888228682556,58.61943273348508
68,0.69,266.45536886892467,59.15704590191355
69,0.7,269.835187006224,59.49282970200696
70,0.71,271.3660120913953,59.51621189729618
71,0.72,271.94271369823696,59.47146917309871
72,0.73,272.0055339302771,59.260008737019795
73,0.74,271.28044556450044,59.18122893915333
74,0.75,271.0600937515878,58.84395898117173
75,0.76,269.4889974227224,58.49499485355793
76,0.77,267.56184857950666,58.42401520576532
77,0.78,264.350973421014,57.72993529260718
78,0.79,263.92041642080403,57.69556138948513
79,0.8,262.7774463886263,57.34334189005933
80,0.81,262.12547377670967,57.22190706081917
81,0.82,261.0330897494464,57.01466620198928
82,0.83,259.34469658535835,56.76387761107855
83,0.84,257.10399934550964,56.7510546556298
84,0.85,254.49903475574018,56.40262706867969
85,0.86,253.39505265519284,56.110231428240674
86,0.87,252.2527161613992,56.286425300567224
87,0.88,251.44139565117658,55.985795340010235
88,0.89,250.01261978843223,55.50019837115066
89,0.9,248.11407705374074,55.66947548225517
90,0.91,246.30384690961475,55.241603009644244
91,0.92,243.33904300340618,54.95130990703933
92,0.93,242.93149020599392,54.765207316354314
93,0.94,241.53175665813302,54.59210807545904
94,0.95,239.7820251615766,54.85213548371381
95,0.96,238.89861769593796,54.713651377904455
96,0.97,237.54234211371994,54.22129133510181
97,0.98,235.71086748898392,54.22946026240842
98,0.99,232.4487848352415,54.40170678330204
