,A,Defender's Losses,Attacker's Gains
0,0.01,228.9926197646052,67.70774186072862
1,0.02,228.09452354996594,67.42911747285446
2,0.03,227.79253000049107,67.2102130788206
3,0.04,227.2093907375701,66.9654038443774
4,0.05,226.20284194755257,66.68292335684498
5,0.06,226.24517720743927,66.50196773039899
6,0.07,225.63547034441208,66.25997033120592
7,0.08,224.95532042708226,66.0121520523702
8,0.09,224.6918273863489,65.80804371887272
9,0.1,224.32324394436645,65.59027079821344
10,0.11,224.05547239827416,65.38853481993057
11,0.12,223.3844049252289,65.14739629928275
12,0.13,223.00990623264863,64.93810191700713
13,0.14,222.65931593136398,64.72743860633815
14,0.15,222.0400849515698,64.50125993394511
15,0.16,221.68138444778705,64.29210344941136
16,0.17,221.36837795683536,64.09320837405158
17,0.18,220.97738721918833,63.88997285415527
18,0.19,220.33332665877185,63.662335444213106
19,0.2,220.30241254140637,63.488434265071426
20,0.21,219.92601338995505,63.29005604691853
21,0.22,219.27578658000277,63.0645436790683
22,0.23,218.89770087495793,62.86876035303507
23,0.24,218.86382060131191,62.698176424892125
24,0.25,217.8834831527576,62.45422226983744
25,0.26,217.78413234567276,62.281153368873476
26,0.27,217.4253002662537,62.090181379740855
27,0.28,217.3379267372156,61.91998203869646
28,0.29,216.3985281919535,61.6840629773323
29,0.3,215.9494294828356,61.492460802065736
30,0.31,215.96386435154548,61.33055065168388
31,0.32,215.26348996127248,61.12803595819053
32,0.33,215.28500589951074,60.96847730732361
33,0.34,214.82071945751935,60.780261836277596
34,0.35,214.46203530717463,60.583957189493255
35,0.36,213.7506298813987,60.38634873366303
36,0.37,213.77494009580474,60.22991633082034
37,0.38,213.29908903849778,60.04524467508866
38,0.39,212.60727626914164,59.85117650785167
39,0.4,212.5512013552657,59.69209957992318
40,0.41,212.22008066266386,59.52243937387309
41,0.42,212.1391337015492,59.36217083411367
42,0.43,211.08746272579353,59.13743953132077
43,0.44,211.02097153142438,58.98018810411259
44,0.45,210.6827108958318,58.81060573935815
45,0.46,210.33398199230336,58.64432062238048
46,0.47,210.043465241994,58.47930832684627
47,0.48,209.6284863641183,58.30843766342983
48,0.49,209.57888594543005,58.15628000337096
49,0.5,209.16162767786025,57.98700744476106
50,0.51,208.57665711407884,57.81538820188457
51,0.52,208.57591272630077,57.666572688642134
52,0.53,208.167361005073,57.50107687907824
53,0.54,207.83332747750885,57.34021249471916
54,0.55,207.74929492825535,57.188536148715585
55,0.56,207.11561242049646,57.01753406226454
56,0.57,206.6837583205703,56.857412212412996
57,0.58,206.68214987439544,56.71208044059647
58,0.59,206.27897107746978,56.55255371577268
59,0.6,205.96777294814376,56.39634798480729
60,0.61,205.58171245318275,56.24031946972802
61,0.62,205.18157991597644,56.083782093867754
62,0.63,205.10533533748273,55.93793711517932
63,0.64,204.76991349806306,55.78517412395226
64,0.65,204.35563548504,55.63109427273611
65,0.66,204.0071912322651,55.478670123449035
66,0.67,203.59738674922983,55.32531238072693
67,0.68,203.464689159028,55.18116217864558
68,0.69,203.1092175689988,55.03027746880578
69,0.7,202.76129910822152,54.88237715531355
70,0.71,202.50647273723325,54.74768868989024
71,0.72,202.0753803342703,54.596184319716095
72,0.73,202.02428151573673,54.45379732655548
73,0.74,201.67274698088366,54.31639994535506
74,0.75,201.44225172540408,54.17915966565732
75,0.76,201.4556493540107,54.07991416307502
76,0.77,201.0273707229506,53.9324855805431
77,0.78,200.93130640753608,53.792951874514856
78,0.79,200.63563325557357,53.66017058732866
79,0.8,200.3499676578242,53.525726269832056
80,0.81,199.90900343078727,53.379914399859175
81,0.82,199.62949873170516,53.25098165798226
82,0.83,199.47250103773288,53.1129754037819
83,0.84,199.1034934431509,52.97132159761914
84,0.85,198.97598213394653,52.856053393953104
85,0.86,198.67153920495005,52.716968626838444
86,0.87,197.93656471440337,52.57026995473404
87,0.88,198.06008362768122,52.45243196926545
88,0.89,198.02365122507015,52.35258032390951
89,0.9,197.7511298481116,52.21535970201898
90,0.91,197.58466492312584,52.10382511041247
91,0.92,196.92126199362428,51.9631036062385
92,0.93,196.89167566513208,51.83202470303984
93,0.94,196.68242323116573,51.712652729836734
94,0.95,196.28366012347485,51.5766006984211
95,0.96,195.96819955325304,51.4422200578416
96,0.97,195.6511538789711,51.3194552469156
97,0.98,195.48782166558766,51.2030945425028
98,0.99,195.56809890538645,51.10991983446098
