,A,Defender's Losses,Attacker's Gains
0,0.01,206.12037241105008,67.36832020075386
1,0.02,205.79637392457832,67.07272292171916
2,0.03,205.06331335384223,66.74350707935906
3,0.04,204.81860169152984,66.50696862471494
4,0.05,203.99617785542557,66.15408306236995
5,0.06,203.89571130533233,65.92935680307124
6,0.07,203.27217079962745,65.6319086251316
7,0.08,202.54190380846467,65.32358437195505
8,0.09,202.4123065259748,65.0655855078992
9,0.1,201.8421975591803,64.83083660240837
10,0.11,201.63313191277115,64.55677803284286
11,0.12,200.9788988126089,64.30823276830044
12,0.13,200.53917362957114,64.03829599651657
13,0.14,200.14443789222216,63.78525249978736
14,0.15,199.70608895616786,63.53109859776167
15,0.16,199.36729290140246,63.2726959355206
16,0.17,198.8685416947384,63.02275521572295
17,0.18,198.6087124192912,62.83518075213087
18,0.19,198.10050052041709,62.52159635168262
19,0.2,197.8259304189099,62.35784432115446
20,0.21,197.71921329780045,62.16737928316112
21,0.22,196.87441070318852,61.81800564475934
22,0.23,196.68822510655042,61.6886225309375
23,0.24,196.6154836970351,61.497274195600895
24,0.25,195.93472103916883,61.238228290087186
25,0.26,195.89641609053348,61.05623229928936
26,0.27,195.48209427827405,60.797943403681124
27,0.28,195.36784837220452,60.69723458992825
28,0.29,194.78244800366423,60.37493138389321
29,0.3,194.3927085598653,60.196744730667696
30,0.31,194.6952584769208,60.15181731881633
31,0.32,193.9863771540044,59.82014718625589
32,0.33,193.70170715037185,59.6512952425876
33,0.34,193.7428547097276,59.5044789627186
34,0.35,193.318614002418,59.36880126549005
35,0.36,192.5481399911109,59.01415890694281
36,0.37,192.96299590789516,59.02241869869748
37,0.38,192.4402261846572,58.767971577133814
38,0.39,192.55731491691222,58.66668886368472
39,0.4,192.482600054521,58.548315230175625
40,0.41,191.9928514022594,58.33137001452048
41,0.42,191.74512141873905,58.099482105558266
42,0.43,192.00204230112857,58.18179398037391
43,0.44,191.37219195592158,57.91481212503502
44,0.45,191.73789872117936,57.883989390698964
45,0.46,190.6262375799777,57.4930537439033
46,0.47,191.7085590780139,57.67522188127295
47,0.48,191.13855793696632,57.416425568847316
48,0.49,191.05750537016974,57.375243739792296
49,0.5,191.78202414126022,57.40244737680449
50,0.51,190.63591496722483,56.964861676421364
51,0.52,190.82815826195392,57.029157384570205
52,0.53,190.43673221079638,56.75759479536398
53,0.54,191.97127281266563,57.156225482616904
54,0.55,191.17257430329283,56.87726497092118
55,0.56,192.03703895774856,57.0010782994593
56,0.57,190.7962569540395,56.547306642299134
57,0.58,191.59623687571514,56.65678753431402
58,0.59,192.47758546302697,56.87622343840302
59,0.6,191.65996696847128,56.55990193538856
60,0.61,193.0231831497472,56.87203433270593
61,0.62,193.9674105523164,57.0720068928613
62,0.63,196.45271562570588,57.75374511357528
63,0.64,195.03355781519303,57.240941378520006
64,0.65,193.23327184511655,56.637360101842845
65,0.66,200.049292331226,58.54232920321138
66,0.67,198.69129148081225,58.03212273694735
67,0.68,202.66332927495006,59.164581315756294
68,0.69,200.8661471660247,58.58792092620945
69,0.7,198.27619144237133,57.69469128311915
70,0.71,201.1411415153949,58.47397752677477
71,0.72,200.52629729432624,58.24378330816853
72,0.73,200.19820820128677,58.03218849808874
73,0.74,199.3258231304354,57.77549392510173
74,0.75,199.20537385203065,57.59153687657211
75,0.76,198.9003390253997,57.387568302547685
76,0.77,198.16021077620533,57.151141243869226
77,0.78,197.86691248096807,56.950782508507544
78,0.79,197.2314801215226,56.72489120096451
79,0.8,196.67726180810826,56.51547288619407
80,0.81,196.42565573680244,56.323326850658326
81,0.82,195.75761473149382,56.071881928962206
82,0.83,195.22576343281617,55.88303649100187
83,0.84,194.7415689588427,55.66124050636486
84,0.85,194.35711064053666,55.48792598372185
85,0.86,193.90322331064982,55.284601153860336
86,0.87,193.4899120225997,55.110246086828646
87,0.88,192.76642444908083,54.84609439521581
88,0.89,192.54196577029433,54.69549042982049
89,0.9,192.13054544779789,54.505008200291094
90,0.91,191.800494744505,54.339000293195085
91,0.92,191.25738104741976,54.12517610175814
92,0.93,191.02279954209956,53.950460004014346
93,0.94,190.30561478778722,53.75773538688216
94,0.95,189.73571949631898,53.55257215014371
95,0.96,189.44803642514478,53.368135498649224
96,0.97,189.18388005325943,53.20015089974697
97,0.98,188.47219087093404,53.013363358218825
98,0.99,188.53380673872337,52.87419578605815
