,beta,Defender's Losses,Attacker's Gains
0,0.01,17.723125180970555,2.573421782803337
1,0.02,37.20733251139105,5.938728505313799
2,0.03,48.33171990912988,8.106428079537524
3,0.04,62.00389281553216,10.00329471656346
4,0.05,77.25259466564381,12.357117172655151
5,0.06,88.2114924601963,14.093418813378081
6,0.07,100.31628236732965,15.777349364263932
7,0.08,111.2104004546045,17.446465904813174
8,0.09,121.43859603510788,19.20189114945834
9,0.1,129.63679011547725,20.40951608189765
10,0.11,139.3242320037482,21.947339028647107
11,0.12,148.63446716983523,23.192335223118338
12,0.13,156.81039364186822,24.307415296002127
13,0.14,162.9146298449562,25.314934902719344
14,0.15,170.68687560037154,26.46847103428821
15,0.16,177.2338953175206,27.43143873760998
16,0.17,184.090035747293,28.350961147853447
17,0.18,190.47389073031977,29.293179101627704
18,0.19,195.52721271611722,30.144316296030755
19,0.2,200.91303723765716,31.032434588931107
20,0.21,205.03944684485225,31.564081548281024
21,0.22,209.25810261126787,32.233671760604594
22,0.23,212.83179533626537,32.86189287764935
23,0.24,217.37022901558015,33.51673915972965
24,0.25,220.63111451797462,34.005088087789716
25,0.26,222.85152021453814,34.38422526827708
26,0.27,225.93753582536218,34.92109980820003
27,0.28,229.05538601177142,35.48505218481539
28,0.29,231.87162983872207,35.95097362846093
29,0.3,234.2107410342013,36.28497845907242
30,0.31,236.78066857616835,36.72982278749282
31,0.32,239.46797091893262,37.188553062083166
32,0.33,242.49372219431712,37.65026366168015
33,0.34,243.90551858314217,37.92678666732124
34,0.35,246.75432381126393,38.325656173411154
35,0.36,248.70152351242766,38.70323237471662
36,0.37,250.7406433756237,39.0613716640792
37,0.38,252.32032587437226,39.31110992083493
38,0.39,254.2573179314728,39.678056238548116
39,0.4,256.7741412363376,40.068810559998894
40,0.41,258.3610867335418,40.30547290523872
41,0.42,121.59919420778212,52.4772167822824
42,0.43,123.11643847274809,52.77784164502965
43,0.44,124.72356478476314,53.09433917592408
44,0.45,126.47658103426679,53.38968189858276
45,0.46,128.01794629463978,53.67237815299653
46,0.47,129.5836290620187,53.97480738979469
47,0.48,131.24500510634473,54.249930203329406
48,0.49,132.66116581145084,54.511441536489144
49,0.5,134.61354327705175,54.77451546746362
50,0.51,136.02870517658974,55.05601837076835
51,0.52,137.67907636824285,55.32335944663546
52,0.53,139.13280420619074,55.58901243775008
53,0.54,140.6324820200816,55.83546505275798
54,0.55,142.061264007561,56.064747078349775
55,0.56,143.4720116346152,56.28944089687959
56,0.57,145.4513246977478,56.60169455492354
57,0.58,146.83981416053373,56.82390512503496
58,0.59,148.42291526605175,57.076902486049335
59,0.6,149.45457979487193,57.260244850113786
60,0.61,151.0022427392758,57.512427053168864
61,0.62,152.50689764813143,57.767669489666616
62,0.63,154.14021152378453,57.96358117933116
63,0.64,155.35147844828165,58.19118744116128
64,0.65,157.00068264320973,58.446229015621675
65,0.66,158.22470421157442,58.649457123767405
66,0.67,159.85424209485808,58.85149881834859
67,0.68,161.33770618951067,59.0995095816496
68,0.69,162.33708227911328,59.259072315673514
69,0.7,163.7701632696945,59.5129211510279
70,0.71,165.41920006541616,59.74700513631108
71,0.72,166.8921643411089,59.92726113122329
72,0.73,168.0718021215797,60.13148223973934
73,0.74,169.66075526697992,60.31288430055717
74,0.75,171.09642257785424,60.58499098516728
75,0.76,172.32688001581406,60.787730419958486
76,0.77,173.7894350856398,60.954051068756606
77,0.78,175.0492582132176,61.15307724346629
78,0.79,176.22457971812653,61.30394078421954
79,0.8,177.7892140063522,61.55253911787879
80,0.81,178.9243780211468,61.70074111404966
81,0.82,180.13295295886346,61.87302172316917
82,0.83,181.52211869122962,62.032777573507644
83,0.84,182.79636812566355,62.26015605388383
84,0.85,183.93972594277074,62.39692241709631
85,0.86,185.1016391880795,62.53667011168612
86,0.87,186.15123334262108,62.68311807956509
87,0.88,187.83264796735514,62.91165668062863
88,0.89,188.96934502476657,63.08801620713488
89,0.9,189.966459170105,63.22891628932621
90,0.91,191.53922661305108,63.4453452942096
91,0.92,192.33507876808812,63.5711149311178
92,0.93,193.65639889646653,63.7204848257828
93,0.94,194.69940204227086,63.85278968622183
94,0.95,196.24327640228478,64.05436797625016
95,0.96,197.30166901836589,64.20722536496577
96,0.97,198.6002510885034,64.3534415827192
97,0.98,199.38578777790354,64.5070621888505
98,0.99,200.70837766206202,64.65384737080251
