,alpha,Defender's Losses,Attacker's Gains
0,0.01,1099.5520304277788,164.57210958152868
1,0.02,1004.115480021781,157.49358578728578
2,0.03,964.6840750268868,151.81506333342415
3,0.04,916.69970320175,145.89713964432664
4,0.05,876.5024054439791,139.54587530730922
5,0.06,836.0306685858666,133.05954357030194
6,0.07,799.9363730959894,127.46074886401038
7,0.08,769.9501893927055,122.8991015806046
8,0.09,738.9129064345597,118.5815555106079
9,0.1,709.0071141288339,114.47698053227512
10,0.11,680.7648591588512,110.47683560910853
11,0.12,654.0235661075174,106.91432932573281
12,0.13,628.9302115219665,103.60628256072407
13,0.14,606.856774230657,100.48467252580396
14,0.15,584.8842014452822,97.43519591593834
15,0.16,564.4754487827173,94.76199138589743
16,0.17,545.0892062177394,92.19725396381968
17,0.18,526.8685361864581,89.6768302568256
18,0.19,511.06861020982865,87.48527075579244
19,0.2,496.6772448554408,85.46782120542925
20,0.21,483.6455522873544,83.5976381685987
21,0.22,470.55010677877397,81.79726337189437
22,0.23,457.9051014245462,80.07815759797727
23,0.24,446.7506039358262,78.39596394003459
24,0.25,435.2643902239786,76.80797382832313
25,0.26,424.6696194730894,75.15175381919673
26,0.27,414.042731281294,73.73254484878612
27,0.28,404.07511906364766,72.07960725547129
28,0.29,395.11918597362126,70.77316307643541
29,0.3,388.51513569191025,69.9621421883454
30,0.31,381.89862046479936,68.93583731187394
31,0.32,375.6634356906307,68.10236172719102
32,0.33,370.01441518368506,67.38820403940063
33,0.34,363.9192436309297,66.55386802122962
34,0.35,358.4706150972946,65.82520415211695
35,0.36,352.5218555124478,64.9300431312496
36,0.37,347.087503377035,64.1670835662573
37,0.38,342.25073558701644,63.59049460895631
38,0.39,337.05217689497687,62.76431241145548
39,0.4,332.6864921842218,62.21088641029517
40,0.41,327.7537347950798,61.452982479691585
41,0.42,322.67082263222346,60.74070986304678
42,0.43,318.10540268514535,60.08779860260166
43,0.44,313.02804615030914,59.336059862405016
44,0.45,309.3661078874414,58.70396961547554
45,0.46,304.42939439378705,58.00737394515284
46,0.47,300.5007643710098,57.409438730201586
47,0.48,296.4511125547725,56.838259411312414
48,0.49,292.283824033126,56.160893568382306
49,0.5,287.83488592550486,55.44817426755155
50,0.51,284.09939196497,54.95409397894502
51,0.52,280.9034708793995,54.5086550191295
52,0.53,276.8405806988971,53.89917139657965
53,0.54,273.57186897120823,53.54940883109003
54,0.55,270.216208073249,53.167998389868515
55,0.56,266.7059500341456,52.609166859405825
56,0.57,263.6894343877904,52.32806966073419
57,0.58,260.20750832560816,51.8660502418514
58,0.59,257.68078778651045,51.755878612407145
59,0.6,254.9853846481676,51.53772469428337
60,0.61,251.47012351729703,51.164179242019124
61,0.62,249.2967882272643,51.17138783658621
62,0.63,246.3353218461311,50.94960840934014
63,0.64,243.8269593335712,50.909444691220415
64,0.65,241.81014253939367,50.93377865048257
65,0.66,239.25075717869322,50.892918036943264
66,0.67,237.1772715467252,51.09416662683839
67,0.68,235.27747385508,51.49219779081078
68,0.69,233.22276059639546,51.802075564720646
69,0.7,231.6871595773311,52.48330060585142
70,0.71,230.05280340170353,52.887401692675915
71,0.72,228.99484589802486,53.8474284262139
72,0.73,227.93996878181204,55.00377858512289
73,0.74,227.502336222064,56.50523386253771
74,0.75,227.47691472108534,58.3686040526178
75,0.76,228.0900868514314,61.01309292525953
76,0.77,229.10248074384498,63.78909382207236
77,0.78,231.86073681580038,68.31633604975033
78,0.79,229.8982884119021,68.0900614580739
79,0.8,228.55893173586543,67.93702432189585
80,0.81,227.03118761070445,67.76902796990642
81,0.82,225.4503352051951,67.5777000348073
82,0.83,223.52568475930727,67.35009836379315
83,0.84,222.38394405725458,67.1824651903688
84,0.85,220.83124434456397,66.99016641767523
85,0.86,219.53854478517172,66.83498983090632
86,0.87,217.79321632574482,66.63463580090513
87,0.88,216.37736487574938,66.47293731873407
88,0.89,215.32335873794216,66.3550704581531
89,0.9,213.80522277663928,66.1871598991635
90,0.91,212.6248313579774,66.06750269526404
91,0.92,211.4357378611228,65.92456435270817
92,0.93,210.09253959686953,65.77066977980506
93,0.94,209.14826896667995,65.67409717826537
94,0.95,207.5624673082068,65.45802633611
95,0.96,206.2381067224782,65.28969320996573
96,0.97,205.1746419191082,65.18943271250056
97,0.98,204.04905868709304,65.04274184010393
98,0.99,203.09968039814163,64.96034719633175
