G1,G2,G3,G4,G5,T_best1,T_best2,T_best3,T_best4,T_best5,Z_G
12.670091045715981,7.040142230849336,3.6055828387782864,0.9901460455861104,5.694037839070284,0.0,3.3578795462280477,1.6421204537719523,0.0,0.0,335.2118252809971
0.22963806366835007,11.705888347851142,3.740077393341171,3.925402680867923,10.398993514271416,0.730890224242162,2.3859258898546924,1.8831838859031451,0.0,0.0,232.81417448778163
6.473933880718306,0.9298135475629364,8.50158766333224,5.111892924954357,8.982771983432158,0.0,3.7774611271668492,1.222538872833151,0.0,0.0,792.0022983650051
4.838864042134603,0.8089487688764869,10.858425155656288,2.0990399724074087,11.394722060925211,0.11532782207312096,3.9393892918015623,0.9452828861253164,0.0,0.0,818.0914578056096
4.838864042134603,0.8089487688764869,10.858425155656288,2.0990399724074087,11.394722060925211,0.11532782207312096,3.9393892918015623,0.9452828861253164,0.0,0.0,818.0914578056096
8.656694607904427,0.23290351385151586,7.111568070268105,8.403984243046082,5.594849564929869,0.0,2.5904682835471236,2.4095317164528764,0.0,0.0,898.6455654874119
0.6065496567269326,4.877617358634218,3.192330364153228,8.279672119388064,13.043830501097558,0.6440765423893822,3.0384172080716314,1.317506249538986,0.0,0.0,426.71366807838075
2.920947404957952,6.749311237518082,5.892575633263053,12.038851385322173,2.398314338938746,0.09251567560393258,3.6335681962423156,0.9408666455560175,0.0,0.33304948259773437,373.1286030876227
10.107445422087645,4.966504858865019,2.063178657222422,6.227095673678661,6.635775388146251,0.0,3.298318782190218,1.701681217809782,0.0,0.0,416.3230128091316
5.923953835883595,4.6395281790659,4.833394909537996,8.199434125919382,6.4036889495931275,0.0,3.784185847334342,1.215814152665658,0.0,0.0,453.8456774791732
2.2098203334997004,4.603603586817004,9.906174930400104,2.3660784742590435,10.91432267502415,0.5567392799893212,4.443260720010679,0.0,0.0,0.0,499.36404087687606
8.95060983275231,4.584389569981837,4.623142491190262,1.7360781781538206,10.105779927921771,0.0,3.740941513710371,1.259058486289629,0.0,0.0,454.5345893401004
8.95060983275231,4.584389569981837,4.623142491190262,1.7360781781538206,10.105779927921771,0.0,3.740941513710371,1.259058486289629,0.0,0.0,454.5345893401004
6.1757172774521285,1.8863094632743431,6.54557721099735,7.668992569585927,7.7234034786902495,0.0,3.957692642512826,1.042307357487174,0.0,0.0,672.6085122201775
10.635145538061241,1.817005189377459,9.977724715953125,0.9686009752380806,6.6015235813700945,0.0,4.566397092031543,0.4336029079684572,0.0,0.0,706.3836607231796
3.0366956916901677,2.631481321285039,7.138393161119532,13.366254245689422,3.827175580215839,0.1622807881677521,4.152301262865562,0.6854179489666858,0.0,0.0,610.9689641854976
6.148372235743937,0.8349812488019811,11.891979910384924,4.332880615951865,6.791785989117291,0.0,4.140055278247826,0.8599447217521737,0.0,0.0,819.114154931629
5.923953835883595,4.6395281790659,4.833394909537996,8.199434125919382,6.4036889495931275,0.0,3.784185847334342,1.215814152665658,0.0,0.0,453.8456774791732
1.1839066862742427,10.165764257057484,7.60212725333071,3.6664965036840087,7.381705299653552,0.8822992286171971,3.4308635270432646,0.6868372443395385,0.0,0.0,283.0944620342845
8.95060983275231,4.584389569981837,4.623142491190262,1.7360781781538206,10.105779927921771,0.0,3.740941513710371,1.259058486289629,0.0,0.0,454.5345893401004
